ETF,Financial Status,Market Category,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
N,N,S,N,100,"Alvarium Tiedemann Holdings, Inc. - Warrant",ALTIW,N
N,N,S,N,100,"Alto Ingredients, Inc. - Common Stock",ALTO,N
N,N,Q,N,100,Altair Engineering Inc. - Class A Common Stock,ALTR,N
N,N,S,N,100,Altitude Acquisition Corp. - Class A Common Stock,ALTU,N
N,N,S,N,100,Altitude Acquisition Corp. - Unit,ALTUU,N
N,N,S,N,100,Altitude Acquisition Corp. - Warrant,ALTUW,N
Y,N,G,N,100,Global X Alternative Income ETF,ALTY,N
N,N,G,N,100,Alvotech - Ordinary Shares,ALVO,N
N,N,G,N,100,Alvotech - Warrant,ALVOW,N
N,N,Q,N,100,"AlloVir, Inc. - Common Stock",ALVR,N
N,N,Q,N,100,ALX Oncology Holdings Inc. - Common Stock,ALXO,N
N,N,S,N,100,Alithya Group inc. - Class A subordinate voting shares,ALYA,N
N,N,S,N,100,"Alzamend Neuro, Inc. - Common Stock",ALZN,N
N,N,G,N,100,Amalgamated Financial Corp. - Common Stock,AMAL,N
N,N,S,N,100,American Acquisition Opportunity Inc. - Class A Common Stock,AMAO,N
N,N,S,N,100,American Acquisition Opportunity Inc. - Units,AMAOU,N
N,N,S,N,100,American Acquisition Opportunity Inc. - Warrant,AMAOW,N
N,N,Q,N,100,"Applied Materials, Inc. - Common Stock",AMAT,N
N,N,Q,N,100,"Ambarella, Inc. - Ordinary Shares",AMBA,N
N,N,S,N,100,AMCI Acquisition Corp. II - Class A Common Stock,AMCI,N
N,N,S,N,100,AMCI Acquisition Corp. II - Units,AMCIU,N
N,N,S,N,100,AMCI Acquisition Corp. II - Warrant,AMCIW,N
N,N,Q,N,100,AMC Networks Inc. - Class A Common Stock,AMCX,N
N,N,Q,N,100,"Advanced Micro Devices, Inc. - Common Stock",AMD,N
N,N,Q,N,100,Amedisys Inc - Common Stock,AMED,N
N,N,S,N,100,"Apollo Medical Holdings, Inc. - Common Stock",AMEH,N
N,N,Q,N,100,Amgen Inc. - Common Stock,AMGN,N
Y,N,G,N,100,Argent Mid Cap ETF,AMID,N
N,N,Q,N,100,"Amkor Technology, Inc. - Common Stock",AMKR,N
N,N,S,N,100,American Lithium Corp. - Common Stock,AMLI,N
N,N,Q,N,100,"Amylyx Pharmaceuticals, Inc. - Common Stock",AMLX,N
N,N,Q,N,100,"American National Bankshares, Inc. - Common Stock",AMNB,N
N,N,G,N,100,"Allied Motion Technologies, Inc. - Common Stock",AMOT,N
N,N,S,N,100,"Amplitech Group, Inc. - Common Stock",AMPG,N
N,N,S,N,100,"Amplitech Group, Inc. - Warrants",AMPGW,N
N,N,Q,N,100,"Amphastar Pharmaceuticals, Inc. - Common Stock",AMPH,N
N,N,S,N,100,"Amplitude, Inc. - Class A Common Stock",AMPL,N
N,N,Q,N,100,"A-Mark Precious Metals, Inc. - Common Stock",AMRK,N
N,N,G,N,100,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",AMRN,N
N,N,Q,N,100,"Amyris, Inc. - Common Stock",AMRS,N
N,N,Q,N,100,American Superconductor Corporation - Common Stock,AMSC,N
N,N,Q,N,100,"AMERISAFE, Inc. - Common Stock",AMSF,N
N,D,S,N,100,Amesite Inc. - Common Stock,AMST,N
N,N,Q,N,100,"American Software, Inc. - Class A Common Stock",AMSWA,N
N,N,Q,N,100,Amerant Bancorp Inc. - Class A Common Stock,AMTB,N
N,N,Q,N,100,Applied Molecular Transport Inc. - common stock,AMTI,N
N,N,G,N,100,"Aemetis, Inc - Common Stock",AMTX,N
N,N,G,N,100,"Atlis Motor Vehicles, Inc. - Class A Common Stock",AMV,N
N,N,Q,N,100,American Woodmark Corporation - Common Stock,AMWD,N
N,N,Q,N,100,Amryt Pharma plc - American Depositary Shares,AMYT,N
Y,N,G,N,100,Direxion Daily AMZN Bear 1X Shares,AMZD,N
N,N,Q,N,100,"Amazon.com, Inc. - Common Stock",AMZN,N
Y,N,G,N,100,Direxion Daily AMZN Bull 1.5X Shares,AMZU,N
N,N,Q,N,100,"AnaptysBio, Inc. - Common Stock",ANAB,N
N,N,Q,N,100,"The Andersons, Inc. - Common Stock",ANDE,N
N,N,S,N,100,"Anebulo Pharmaceuticals, Inc. - Common Stock",ANEB,N
N,N,G,N,100,Anghami Inc. - Ordinary Shares,ANGH,N
N,N,S,N,100,Anghami Inc. - Warrants,ANGHW,N
N,N,Q,N,100,Angi Inc. - Class A Common Stock,ANGI,N
Y,N,G,N,100,VanEck Fallen Angel High Yield Bond ETF,ANGL,N
N,D,Q,N,100,Angion Biomedica Corp. - Common Stock,ANGN,N
N,N,Q,N,100,"AngioDynamics, Inc. - Common Stock",ANGO,N
N,N,Q,N,100,Anika Therapeutics Inc. - Common Stock,ANIK,N
N,N,G,N,100,"ANI Pharmaceuticals, Inc. - Common Stock",ANIP,N
N,N,S,N,100,"Anixa Biosciences, Inc. - Common Stock",ANIX,N
N,N,Q,N,100,"Annexon, Inc. - common stock",ANNX,N
N,N,S,N,100,"AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares",ANPC,N
N,N,Q,N,100,"ANSYS, Inc. - Common Stock",ANSS,N
N,N,S,N,100,"AirNet Technology Inc. - American Depositary Shares, each representing one ordinary shares",ANTE,N
N,N,Q,N,100,"AN2 Therapeutics, Inc. - Common Stock",ANTX,N
N,D,S,N,100,Sphere 3D Corp. - Common Shares,ANY,N
N,N,S,N,100,Anzu Special Acquisition Corp I - Class A Common Stock,ANZU,N
N,N,S,N,100,Anzu Special Acquisition Corp I - Units,ANZUU,N
N,N,S,N,100,Anzu Special Acquisition Corp I - Warrant,ANZUW,N
N,N,G,N,100,Arogo Capital Acquisition Corp. - Class A Common Stock,AOGO,N
N,N,G,N,100,Arogo Capital Acquisition Corp. - Unit,AOGOU,N
N,N,G,N,100,Arogo Capital Acquisition Corp. - Warrant,AOGOW,N
N,N,Q,N,100,Alpha and Omega Semiconductor Limited - Common Shares,AOSL,N
Y,N,G,N,100,AOT Growth and Innovation ETF,AOTG,N
N,N,Q,N,100,"American Outdoor Brands, Inc. - Common Stock",AOUT,N
N,N,Q,N,100,APA Corporation - Common Stock,APA,N
N,N,S,N,100,StoneBridge Acquisition Corporation - Class A Ordinary Shares,APAC,N
N,N,S,N,100,StoneBridge Acquisition Corporation - Unit,APACU,N
N,N,S,N,100,StoneBridge Acquisition Corporation - Warrant,APACW,N
N,N,S,N,100,AppTech Payments Corp. - Common stock,APCX,N
N,N,S,N,100,AppTech Payments Corp. - Warrant,APCXW,N
N,N,S,N,100,"Applied DNA Sciences, Inc. - Common Stock",APDN,N
N,N,Q,N,100,"American Public Education, Inc. - Common Stock",APEI,N
N,N,G,N,100,"Apollo Endosurgery, Inc. - Common Stock",APEN,N
N,N,S,N,100,"Apexigen, Inc. - Common Stock",APGN,N
N,N,S,N,100,"Apexigen, Inc. - Warrant",APGNW,N
N,N,Q,N,100,"Agora, Inc. - ADS",API,N
N,N,Q,N,100,Applied Digital Corporation - Common Stock,APLD,N
N,N,Q,N,100,"Apellis Pharmaceuticals, Inc. - Common Stock",APLS,N
N,D,G,N,100,"Applied Therapeutics, Inc. - Common Stock",APLT,N
N,D,G,N,100,Aptorum Group Limited - Class A Ordinary Shares,APM,N
N,N,S,N,100,AxonPrime Infrastructure Acquisition Corporation - Class A Common Stock,APMI,N
N,N,S,N,100,AxonPrime Infrastructure Acquisition Corporation - Unit,APMIU,N
N,N,S,N,100,AxonPrime Infrastructure Acquisition Corporation - Warrants,APMIW,N
N,N,Q,N,100,"Apogee Enterprises, Inc. - Common Stock",APOG,N
N,N,Q,N,100,Applovin Corporation - Class A Common Stock,APP,N
N,N,G,N,100,"AppFolio, Inc. - Class A Common Stock",APPF,N
N,N,Q,N,100,"AppHarvest, Inc. - Common Stock",APPH,N
N,N,Q,N,100,"AppHarvest, Inc. - Warrants",APPHW,N
N,N,G,N,100,Appian Corporation - Class A Common Stock,APPN,N
N,N,S,N,100,"Digital Turbine, Inc. - Common Stock",APPS,N
N,D,Q,N,100,"Aprea Therapeutics, Inc. - Common Stock",APRE,N
